id,_symbol,_company,_quantity,_sheesh
210,FMC,FMC Corporation,0,0
211,FOX,Fox Corporation (Class B),0,0
212,FOXA,Fox Corporation (Class A),0,0
213,FRT,Federal Realty,0,0
214,FSLR,First Solar,0,0
215,FTNT,Fortinet,0,0
216,FTV,Fortive,0,0
217,GD,General Dynamics,0,0
218,GE,General Electric,0,0
219,GEHC,GE HealthCare,0,0
220,GEN,Gen Digital,0,0
221,GILD,Gilead Sciences,0,0
222,GIS,General Mills,0,0
223,GL,Globe Life,0,0
224,GLW,Corning Inc.,0,0
225,GM,General Motors,0,0
226,GNRC,Generac,0,0
227,GPC,Genuine Parts Company,0,0
228,GPN,Global Payments,0,0
229,GRMN,Garmin,0,0
230,GS,Goldman Sachs,0,0
231,GWW,W. W. Grainger,0,0
232,HAL,Halliburton,0,0
233,HAS,Hasbro,0,0
234,HBAN,Huntington Bancshares,0,0
235,HCA,HCA Healthcare,0,0
236,HES,Hess Corporation,0,0
237,HIG,Hartford (The),0,0
238,HII,Huntington Ingalls Industries,0,0
239,HLT,Hilton Worldwide,0,0
240,HOLX,Hologic,0,0
241,HON,Honeywell,0,0
242,HPE,Hewlett Packard Enterprise,0,0
243,HPQ,HP Inc.,0,0
244,HRL,Hormel Foods,0,0
245,HSIC,Henry Schein,0,0
246,HST,Host Hotels & Resorts,0,0
247,HSY,Hershey's,0,0
248,HUBB,Hubbell Incorporated,0,0
249,HUM,Humana,0,0
250,HWM,Howmet Aerospace,0,0
251,IBM,IBM,0,0
252,ICE,Intercontinental Exchange,0,0
253,IDXX,Idexx Laboratories,0,0
254,IEX,IDEX Corporation,0,0
255,IFF,International Flavors & Fragrances,0,0
256,ILMN,Illumina,0,0
257,INCY,Incyte,0,0
258,INTC,Intel,0,0
259,INTU,Intuit,0,0
260,INVH,Invitation Homes,0,0
261,IP,International Paper,0,0
262,IPG,Interpublic Group of Companies (The),0,0
263,IQV,IQVIA,0,0
264,IR,Ingersoll Rand,0,0
265,IRM,Iron Mountain,0,0
266,ISRG,Intuitive Surgical,0,0
267,IT,Gartner,0,0
268,ITW,Illinois Tool Works,0,0
269,IVZ,Invesco,0,0
270,J,Jacobs Solutions,0,0
271,JBHT,J.B. Hunt,0,0
272,JBL,Jabil,0,0
273,JCI,Johnson Controls,0,0
274,JKHY,Jack Henry & Associates,0,0
275,JNPR,Juniper Networks,0,0
276,K,Kellanova,0,0
277,KDP,Keurig Dr Pepper,0,0
278,KEY,KeyCorp,0,0
279,KEYS,Keysight,0,0
280,KHC,Kraft Heinz,0,0
281,KIM,Kimco Realty,0,0
282,KLAC,KLA Corporation,0,0
283,KMB,Kimberly-Clark,0,0
284,KMI,Kinder Morgan,0,0
285,KMX,CarMax,0,0
286,KO,Coca-Cola Company (The),0,0
287,KR,Kroger,0,0
288,KVUE,Kenvue,0,0
289,L,Loews Corporation,0,0
290,LDOS,Leidos,0,0
291,LEN,Lennar,0,0
292,LH,LabCorp,0,0
293,LHX,L3Harris,0,0
294,LIN,Linde plc,0,0
295,LKQ,LKQ Corporation,0,0
296,LMT,Lockheed Martin,0,0
297,LNT,Alliant Energy,0,0
298,LOW,Lowe's,0,0
299,LRCX,Lam Research,0,0
300,LULU,Lululemon Athletica,0,0
301,LUV,Southwest Airlines,0,0
302,LVS,Las Vegas Sands,0,0
303,LW,Lamb Weston,0,0
304,LYB,LyondellBasell,0,0
305,LYV,Live Nation Entertainment,0,0
306,MAA,Mid-America Apartment Communities,0,0
307,MAR,Marriott International,0,0
308,MAS,Masco,0,0
309,MCD,McDonald's,0,0
310,MCHP,Microchip Technology,0,0
311,MCK,McKesson,0,0
312,MCO,Moody's Corporation,0,0
313,MDLZ,Mondelez International,0,0
314,MDT,Medtronic,0,0
315,MET,MetLife,0,0
316,MGM,MGM Resorts,0,0
317,MHK,Mohawk Industries,0,0
318,MKC,McCormick & Company,0,0
319,MKTX,MarketAxess,0,0
320,MLM,Martin Marietta Materials,0,0
321,MMC,Marsh McLennan,0,0
322,MMM,3M,0,0
323,MNST,Monster Beverage,0,0
324,MO,Altria,0,0
325,MOH,Molina Healthcare,0,0
326,MOS,Mosaic Company (The),0,0
327,MPC,Marathon Petroleum,0,0
328,MPWR,Monolithic Power Systems,0,0
329,MRNA,Moderna,0,0
330,MRO,Marathon Oil,0,0
331,MS,Morgan Stanley,0,0
332,MSCI,MSCI,0,0
333,MSI,Motorola Solutions,0,0
334,MTB,M&T Bank,0,0
335,MTCH,Match Group,0,0
336,MTD,Mettler Toledo,0,0
337,MU,Micron Technology,0,0
338,NCLH,Norwegian Cruise Line Holdings,0,0
339,NDAQ,"Nasdaq, Inc.",0,0
340,NDSN,Nordson Corporation,0,0
341,NEE,NextEra Energy,0,0
342,NEM,Newmont,0,0
343,NFLX,Netflix,0,0
344,NI,NiSource,0,0
345,NKE,"Nike, Inc.",0,0
346,NOC,Northrop Grumman,0,0
347,NOW,ServiceNow,0,0
348,NRG,NRG Energy,0,0
349,NSC,Norfolk Southern Railway,0,0
350,NTAP,NetApp,0,0
351,NTRS,Northern Trust,0,0
352,NUE,Nucor,0,0
353,NVR,"NVR, Inc.",0,0
354,NWS,News Corp (Class B),0,0
355,NWSA,News Corp (Class A),0,0
356,NXPI,NXP Semiconductors,0,0
357,O,Realty Income,0,0
358,ODFL,Old Dominion,0,0
359,OKE,ONEOK,0,0
360,OMC,Omnicom Group,0,0
361,ON,ON Semiconductor,0,0
362,ORCL,Oracle Corporation,0,0
363,ORLY,O'Reilly Auto Parts,0,0
364,OTIS,Otis Worldwide,0,0
365,OXY,Occidental Petroleum,0,0
366,PANW,Palo Alto Networks,0,0
367,PARA,Paramount Global,0,0
368,PAYC,Paycom,0,0
369,PAYX,Paychex,0,0
370,PCAR,Paccar,0,0
371,PCG,PG&E Corporation,0,0
372,PEG,Public Service Enterprise Group,0,0
373,PEP,PepsiCo,0,0
374,PFE,Pfizer,0,0
375,PFG,Principal Financial Group,0,0
376,PGR,Progressive Corporation,0,0
377,PH,Parker Hannifin,0,0
378,PHM,PulteGroup,0,0
379,PKG,Packaging Corporation of America,0,0
380,PLD,Prologis,0,0
381,PM,Philip Morris International,0,0
382,PNC,PNC Financial Services,0,0
383,PNR,Pentair,0,0
384,PNW,Pinnacle West,0,0
385,PODD,Insulet,0,0
386,POOL,Pool Corporation,0,0
387,PPG,PPG Industries,0,0
388,PPL,PPL Corporation,0,0
389,PRU,Prudential Financial,0,0
390,PSA,Public Storage,0,0
391,PSX,Phillips 66,0,0
392,PTC,PTC,0,0
393,PWR,Quanta Services,0,0
394,PXD,Pioneer Natural Resources,0,0
395,PYPL,PayPal,0,0
396,QCOM,Qualcomm,0,0
397,QRVO,Qorvo,0,0
398,RCL,Royal Caribbean Group,0,0
399,REG,Regency Centers,0,0
400,REGN,Regeneron,0,0
401,RF,Regions Financial Corporation,0,0
402,RHI,Robert Half,0,0
403,RJF,Raymond James,0,0
404,RL,Ralph Lauren Corporation,0,0
405,RMD,ResMed,0,0
406,ROK,Rockwell Automation,0,0
407,ROL,"Rollins, Inc.",0,0
408,ROP,Roper Technologies,0,0
409,ROST,Ross Stores,0,0
410,RSG,Republic Services,0,0
411,RTX,RTX Corporation,0,0
412,RVTY,Revvity,0,0
413,SBAC,SBA Communications,0,0
414,SBUX,Starbucks,0,0
415,SCHW,Charles Schwab Corporation,0,0
416,SHW,Sherwin-Williams,0,0
417,SJM,J.M. Smucker Company (The),0,0
418,SLB,Schlumberger,0,0
419,SMCI,Supermicro,0,0
420,SNA,Snap-on,0,0
421,SNPS,Synopsys,0,0
422,SO,Southern Company,0,0
423,SPG,Simon Property Group,0,0
424,SPGI,S&P Global,0,0
425,SRE,Sempra Energy,0,0
426,STE,Steris,0,0
427,STLD,Steel Dynamics,0,0
428,STT,State Street Corporation,0,0
429,STX,Seagate Technology,0,0
430,STZ,Constellation Brands,0,0
431,SWK,Stanley Black & Decker,0,0
432,SWKS,Skyworks Solutions,0,0
433,SYF,Synchrony Financial,0,0
434,SYK,Stryker Corporation,0,0
435,SYY,Sysco,0,0
436,T,AT&T,0,0
437,TAP,Molson Coors Beverage Company,0,0
438,TDG,TransDigm Group,0,0
439,TDY,Teledyne Technologies,0,0
440,TECH,Bio-Techne,0,0
441,TEL,TE Connectivity,0,0
442,TER,Teradyne,0,0
443,TFC,Truist,0,0
444,TFX,Teleflex,0,0
445,TGT,Target Corporation,0,0
446,TJX,TJX Companies,0,0
447,TMO,Thermo Fisher Scientific,0,0
448,TMUS,T-Mobile US,0,0
449,TPR,"Tapestry, Inc.",0,0
450,TRGP,Targa Resources,0,0
451,TRMB,Trimble Inc.,0,0
452,TROW,T. Rowe Price,0,0
453,TRV,Travelers Companies (The),0,0
454,TSCO,Tractor Supply,0,0
455,TSN,Tyson Foods,0,0
456,TT,Trane Technologies,0,0
457,TTWO,Take-Two Interactive,0,0
458,TXN,Texas Instruments,0,0
459,TXT,Textron,0,0
460,TYL,Tyler Technologies,0,0
461,UAL,United Airlines Holdings,0,0
462,UBER,Uber,0,0
463,UDR,"UDR, Inc.",0,0
464,UHS,Universal Health Services,0,0
465,ULTA,Ulta Beauty,0,0
466,UNP,Union Pacific Corporation,0,0
467,UPS,United Parcel Service,0,0
468,URI,United Rentals,0,0
469,USB,U.S. Bank,0,0
470,VFC,VF Corporation,0,0
471,VICI,Vici Properties,0,0
472,VLO,Valero Energy,0,0
473,VLTO,Veralto,0,0
474,VMC,Vulcan Materials Company,0,0
475,VRSK,Verisk,0,0
476,VRSN,Verisign,0,0
477,VRTX,Vertex Pharmaceuticals,0,0
478,VTR,Ventas,0,0
479,VTRS,Viatris,0,0
480,VZ,Verizon,0,0
481,WAB,Wabtec,0,0
482,WAT,Waters Corporation,0,0
483,WBA,Walgreens Boots Alliance,0,0
484,WBD,Warner Bros. Discovery,0,0
485,WDC,Western Digital,0,0
486,WEC,WEC Energy Group,0,0
487,WELL,Welltower,0,0
488,WFC,Wells Fargo,0,0
489,WM,Waste Management,0,0
490,WMB,Williams Companies,0,0
491,WMT,Walmart,0,0
492,WRB,Berkley,0,0
493,WRK,WestRock,0,0
494,WST,West Pharmaceutical Services,0,0
495,WTW,Willis Towers Watson,0,0
496,WY,Weyerhaeuser,0,0
497,WYNN,Wynn Resorts,0,0
498,XEL,Xcel Energy,0,0
499,XRAY,Dentsply Sirona,0,0
500,XYL,Xylem Inc.,0,0
501,YUM,Yum! Brands,0,0
502,ZBH,Zimmer Biomet,0,0
503,ZBRA,Zebra Technologies,0,0
504,ZTS,Zoetis,0,0
